City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
87,saint-philippe,90,CA,1554507918,59,45.36,39.2,17.22,-73.48
88,jamestown,0,AU,1554507772,71,-33.21,60.51,6.17,138.6
89,srednekolymsk,0,RU,1554508305,73,67.46,17.4,3.38,153.71
90,padang,56,ID,1554507818,100,-0.92,81.39,3.71,100.36
91,port hardy,90,CA,1554505200,81,50.7,48.2,13.87,-127.42
92,mahebourg,40,MU,1554507541,83,-20.41,78.8,13.87,57.7
93,lebu,75,ET,1554505200,67,8.96,60.8,6.93,38.73
94,kiama,75,AU,1554508030,64,-34.67,73.99,6.93,150.86
95,cidreira,92,BR,1554508312,94,-30.17,68.25,9.19,-50.22
96,new norfolk,40,AU,1554507815,48,-42.78,64.0,14.99,147.06
97,ancud,90,CL,1554505200,81,-41.87,51.8,3.36,-73.83
98,komsomolskiy,80,RU,1554507913,90,67.55,22.35,16.24,63.78
99,vaini,80,IN,1554507757,95,15.34,69.87,1.59,74.49
100,port alfred,92,ZA,1554507738,93,-33.59,60.01,1.99,26.89
101,saint-vallier,0,FR,1554508067,75,46.64,44.6,6.93,4.37
102,avera,1,US,1554508206,64,33.19,73.4,3.36,-82.53
103,pevek,24,RU,1554508323,95,69.7,6.6,8.63,170.27
104,aljezur,88,PT,1554508050,90,37.31,51.01,17.02,-8.8
105,saint-pierre,24,FR,1554508325,80,48.95,41.0,11.41,4.24
106,hofn,32,IS,1554507808,100,64.25,36.21,14.79,-15.21
107,lagoa,40,PT,1554507748,81,37.14,51.8,9.17,-8.45
108,energetik,88,RU,1554508331,86,51.74,35.67,2.93,58.8
109,key largo,1,US,1554508254,74,25.09,78.8,6.93,-80.45
110,torbay,75,CA,1554507626,63,47.66,30.0,28.86,-52.73
111,richards bay,92,ZA,1554508334,100,-28.77,66.36,15.12,32.06
112,xuanhua,48,CN,1554508344,52,40.61,42.24,2.93,115.04
113,mamlyutka,0,KZ,1554508345,72,54.94,22.08,2.93,68.54
114,steamboat springs,40,US,1554507931,32,40.48,60.8,4.7,-106.83
115,saint george,90,GR,1554504600,81,39.45,53.6,6.93,22.34
116,quatre cocos,40,MU,1554508142,83,-20.21,78.8,13.87,57.76
117,khvoynaya,0,RU,1554508349,69,58.9,23.16,4.61,34.53
